Recency,Frequency,Monetary,Cluster
326,2,24692.0,1
2,182,2247154.0,0
75,31,382788.0,0
19,73,901477.0,0
310,17,209950.0,1
36,95,1173440.0,0
204,4,49412.0,1
232,58,716532.0,1
214,13,160615.0,1
23,59,729004.0,0
33,131,1618767.0,0
2,19,234802.0,0
8,251,3102109.0,0
52,129,1594440.0,0
287,10,123610.0,1
3,274,3387188.0,0
110,23,284349.0,0
8,85,1050940.0,0
291,23,284395.0,1
4,11,136037.0,0
51,166,2053420.0,0
45,63,779373.0,0
72,52,643344.0,0
311,14,173222.0,1
25,33,408342.0,0
3,18,222750.0,0
315,77,953029.0,1
130,219,2710782.0,0
82,41,507539.0,0
22,105,1299900.0,0
5,91,1126671.0,0
185,100,1238300.0,1
29,30,371520.0,0
338,10,123860.0,1
16,100,1238800.0,0
80,32,396480.0,0
22,93,1152363.0,0
72,64,793152.0,0
64,27,334638.0,0
16,159,1970805.0,0
36,126,1562022.0,0
46,85,1053830.0,0
119,59,731541.0,0
303,5,62005.0,1
323,11,136422.0,1
50,6,74418.0,0
149,54,669870.0,1
22,108,1339848.0,0
50,77,955339.0,0
33,113,1402104.0,0
79,114,1414626.0,0
301,28,347480.0,1
75,61,757132.0,0
67,40,496520.0,0
217,18,223452.0,1
24,778,9658870.0,3
3,198,2458566.0,0
113,34,422212.0,0
64,29,360180.0,0
16,46,571366.0,0
96,39,484458.0,0
1,126,1565298.0,0
163,30,372720.0,1
78,36,447300.0,0
195,30,372780.0,1
12,35,434945.0,0
26,300,3728400.0,0
9,97,1205613.0,0
43,11,136730.0,0
36,239,2971009.0,0
43,108,1342656.0,0
1,420,5221860.0,3
85,54,671436.0,0
80,36,447660.0,0
100,16,198976.0,0
2,201,2499837.0,0
14,98,1218924.0,0
367,11,136851.0,1
3,12,149304.0,0
21,177,2202588.0,0
22,4,49780.0,0
58,58,721868.0,0
243,26,323622.0,1
44,22,273856.0,0
22,191,2377759.0,0
156,8,99600.0,1
11,355,4420105.0,3
17,23,286396.0,0
134,43,535479.0,0
53,30,373620.0,0
73,90,1120950.0,0
44,129,1606824.0,0
58,68,847076.0,0
71,38,473404.0,0
94,35,436135.0,0
2,72,897264.0,0
46,88,1096744.0,0
10,29,361456.0,0
8,51,635715.0,0
143,40,498720.0,0
2,530,6609630.0,3
31,391,4876552.0,3
29,178,2220194.0,0
17,455,5675670.0,3
54,36,449100.0,0
1,264,3293664.0,0
23,308,3842916.0,0
4,36,449208.0,0
4,35,436765.0,0
28,154,1921920.0,0
23,217,2708377.0,0
17,81,1011123.0,0
33,347,4331948.0,3
10,55,686840.0,0
336,15,187335.0,1
5,245,3060050.0,0
39,26,324766.0,0
63,20,249840.0,0
166,23,287339.0,1
10,84,1049496.0,0
82,14,174958.0,0
21,23,287454.0,0
23,65,812500.0,0
315,160,2000160.0,1
96,147,1837794.0,0
338,1,12503.0,1
18,15,187560.0,0
301,1,12505.0,1
233,23,287638.0,1
134,23,287661.0,0
26,68,850544.0,0
284,7,87563.0,1
143,33,412830.0,0
66,31,387872.0,0
85,36,450468.0,0
267,51,638214.0,1
353,16,200240.0,1
78,26,325416.0,0
28,281,3517277.0,0
1,124,1552232.0,0
64,17,212823.0,0
79,155,1940600.0,0
143,38,475798.0,0
39,12,150264.0,0
2,110,1377530.0,0
9,144,1803456.0,0
1,71,889346.0,0
82,18,225486.0,0
9,95,1190160.0,0
60,68,852040.0,0
15,17,213027.0,0
30,16,200512.0,0
131,63,789642.0,0
92,34,426190.0,0
8,273,3422328.0,0
29,21,263298.0,0
22,274,3435686.0,0
20,481,6031740.0,3
30,52,652132.0,0
30,20,250880.0,0
75,50,627250.0,0
47,70,878220.0,0
198,8,100376.0,1
166,5,62740.0,1
79,57,715350.0,0
358,10,125510.0,1
39,20,251040.0,0
8,196,2460388.0,0
50,119,1494164.0,0
16,33,414381.0,0
2,22,276276.0,0
311,22,276298.0,1
5,111,1394160.0,0
303,16,200976.0,1
8,168,2110416.0,0
261,21,263844.0,1
282,10,125650.0,1
73,20,251320.0,0
23,463,5818521.0,3
2,191,2400679.0,0
40,34,427414.0,0
9,62,779464.0,0
227,28,352044.0,1
316,11,138314.0,1
36,89,1119264.0,0
35,147,1848819.0,0
21,120,1509360.0,0
73,31,389949.0,0
247,24,301920.0,1
40,15,188715.0,0
239,22,276804.0,1
3,251,3158333.0,0
4,126,1585584.0,0
234,97,1220745.0,1
17,12,151032.0,0
8,4,50348.0,0
39,10,125880.0,0
29,35,440615.0,0
190,70,881300.0,1
317,26,327366.0,1
92,18,226656.0,0
109,21,264453.0,0
38,119,1498686.0,0
51,27,340092.0,0
19,214,2695758.0,0
10,133,1675534.0,0
29,62,781138.0,0
29,65,819000.0,0
190,29,365429.0,1
59,12,151224.0,0
22,3,37809.0,0
79,16,201664.0,0
365,3,37815.0,1
58,202,2546614.0,0
78,60,756540.0,0
23,111,1399710.0,0
52,65,819715.0,0
58,21,264852.0,0
31,163,2055919.0,0
278,20,252280.0,1
2,105,1324575.0,0
85,36,454176.0,0
29,41,517297.0,0
22,11,138798.0,0
16,95,1198805.0,0
15,92,1161040.0,0
2,474,5982354.0,3
232,11,138842.0,1
276,18,227214.0,1
106,38,479712.0,0
212,91,1148875.0,1
23,307,3876182.0,0
11,230,2904210.0,0
4,43,543004.0,0
10,64,808320.0,0
57,31,391561.0,0
59,103,1301199.0,0
90,101,1276135.0,0
67,386,4877882.0,3
33,39,492882.0,0
239,22,278058.0,1
24,53,669920.0,0
115,10,126410.0,0
25,47,594174.0,0
128,24,303432.0,0
130,31,391964.0,0
34,74,935730.0,0
5,45,569070.0,0
22,128,1618816.0,0
155,21,265608.0,1
107,33,417417.0,0
3,20,253000.0,0
335,9,113859.0,1
322,51,645252.0,1
149,43,544079.0,1
11,38,480852.0,0
17,130,1645280.0,0
11,56,708792.0,0
19,36,455688.0,0
30,5,63295.0,0
11,13,164580.0,0
1,232,2937584.0,0
8,38,481232.0,0
325,4,50660.0,1
359,2,25332.0,1
58,33,418011.0,0
7,168,2128224.0,0
151,102,1292238.0,1
10,94,1190980.0,0
330,10,126720.0,1
5,42,532266.0,0
12,90,1140660.0,0
25,45,570420.0,0
42,167,2117226.0,0
52,56,710024.0,0
1,52,659360.0,0
15,646,8191926.0,3
4,524,6645368.0,3
4,362,4591246.0,3
8,105,1331820.0,0
28,157,1991545.0,0
372,7,88802.0,1
114,171,2169648.0,0
26,72,913608.0,0
206,16,203040.0,1
28,32,406112.0,0
121,41,520413.0,0
70,37,469678.0,0
7,27,342765.0,0
21,43,545971.0,0
8,270,3429000.0,0
80,53,673153.0,0
20,12,152424.0,0
64,22,279466.0,0
7,90,1143360.0,0
15,348,4421340.0,3
292,33,419331.0,1
30,174,2211192.0,0
3,256,3253504.0,0
97,79,1004090.0,0
23,142,1805104.0,0
1,38,483094.0,0
9,259,3292926.0,0
106,20,254300.0,0
4,69,877404.0,0
151,56,712152.0,1
71,19,241642.0,0
5,42,534198.0,0
3,359,4566480.0,3
32,164,2086244.0,0
85,57,725154.0,0
4,69,877887.0,0
5,53,674372.0,0
371,24,305400.0,1
28,124,1578024.0,0
11,141,1794507.0,0
71,46,585488.0,0
114,26,330954.0,0
24,277,3526487.0,0
180,12,152784.0,1
234,22,280126.0,1
353,4,50936.0,1
315,43,547605.0,1
333,4,50944.0,1
372,11,140118.0,1
78,38,484082.0,0
64,27,343980.0,0
134,131,1669333.0,0
52,229,2918376.0,0
2,103,1312941.0,0
1,4459,56843332.0,2
4,231,2945019.0,0
129,15,191250.0,0
81,53,675856.0,0
4,230,2933190.0,0
236,65,829010.0,1
250,6,76530.0,1
87,4,51024.0,0
16,370,4720090.0,3
117,97,1237526.0,0
52,95,1212105.0,0
8,69,880578.0,0
138,18,229734.0,0
317,45,574380.0,1
4,310,3957460.0,3
239,32,408608.0,1
211,12,153240.0,1
60,55,702460.0,0
17,67,855925.0,0
20,51,651678.0,0
21,159,2031861.0,0
21,30,383430.0,0
5,107,1367674.0,0
2,86,1099338.0,0
9,57,728688.0,0
3,15,191775.0,0
10,20,255740.0,0
65,4,51156.0,0
192,21,268590.0,1
374,2,25582.0,1
257,25,319800.0,1
335,24,307032.0,1
53,45,575730.0,0
19,14,179130.0,0
360,17,217549.0,1
10,8,102384.0,0
184,26,332852.0,1
37,28,358624.0,0
168,26,333034.0,1
261,31,397141.0,1
45,15,192180.0,0
102,2,25628.0,0
148,47,602305.0,1
96,29,371664.0,0
281,4,51268.0,1
178,16,205088.0,1
3,59,756380.0,0
214,6,76926.0,1
71,47,602634.0,0
75,5,64115.0,0
60,25,320600.0,0
3,94,1205644.0,0
6,25,320675.0,0
3,56,718368.0,0
322,12,153948.0,1
38,39,500370.0,0
262,9,115479.0,1
32,27,346464.0,0
145,24,307992.0,1
283,18,231012.0,1
59,174,2233464.0,0
173,12,154044.0,1
34,120,1540560.0,0
3,316,4057124.0,3
144,116,1489440.0,0
5,433,5560153.0,3
70,34,436628.0,0
66,108,1387044.0,0
29,52,667888.0,0
267,27,346815.0,1
22,84,1079148.0,0
31,48,616752.0,0
97,47,603997.0,0
290,20,257040.0,1
108,84,1079652.0,0
79,114,1465356.0,0
373,3,38565.0,1
8,314,4036784.0,3
211,46,591422.0,1
52,6,77178.0,0
138,3,38592.0,0
26,96,1235040.0,0
283,26,334516.0,1
26,547,7038249.0,3
186,107,1376876.0,1
366,2,25740.0,1
84,11,141581.0,0
327,66,849552.0,1
282,4,51492.0,1
143,2,25750.0,1
58,85,1094460.0,0
4,154,1983058.0,0
18,49,631022.0,0
45,12,154548.0,0
276,7,90167.0,1
9,13,167466.0,0
25,42,541086.0,0
88,7,90188.0,0
63,72,927720.0,0
68,86,1108196.0,0
214,7,90216.0,1
24,79,1018310.0,0
186,3,38673.0,1
31,31,399683.0,0
42,24,309480.0,0
205,4,51588.0,1
9,125,1612625.0,0
265,10,129020.0,1
18,71,916184.0,0
12,63,813078.0,0
59,4,51632.0,0
40,96,1239264.0,0
23,75,968250.0,0
3,24,309888.0,0
5,50,645650.0,0
149,22,284130.0,1
139,105,1356180.0,0
128,2,25834.0,0
8,52,671788.0,0
17,27,348840.0,0
4,741,9574461.0,3
161,28,361816.0,1
64,28,361844.0,0
88,31,400644.0,0
5,45,581625.0,0
35,84,1085952.0,0
122,9,116361.0,0
78,27,349110.0,0
22,102,1318962.0,0
24,107,1383831.0,0
2,130,1681550.0,0
17,63,814968.0,0
15,120,1552440.0,0
26,9,116442.0,0
64,47,608133.0,0
46,100,1294000.0,0
131,70,905940.0,0
301,1,12943.0,1
36,30,388320.0,0
288,23,297735.0,1
144,103,1333541.0,0
16,118,1527864.0,0
31,219,2835831.0,0
2,23,297850.0,0
9,65,841815.0,0
6,80,1036160.0,0
10,17,220201.0,0
1,183,2370765.0,0
306,19,246164.0,1
4,244,3161508.0,0
7,16,207392.0,0
8,96,1244448.0,0
89,108,1400220.0,0
10,10,129660.0,0
3,33,427911.0,0
112,5,64840.0,0
7,129,1673130.0,0
4,308,3995068.0,3
198,8,103792.0,1
212,22,285472.0,1
156,9,116793.0,1
156,24,311520.0,1
30,20,259620.0,0
240,34,441388.0,1
19,4,51936.0,0
1,78,1012830.0,0
74,30,389610.0,0
292,83,1078004.0,1
3,68,883252.0,0
31,13,168870.0,0
23,31,402721.0,0
23,27,350811.0,0
4,73,948562.0,0
78,5,64975.0,0
22,67,870799.0,0
196,28,363972.0,1
107,31,403000.0,0
4,340,4420340.0,3
318,7,91014.0,1
106,6,78018.0,0
12,409,5318636.0,3
174,29,377145.0,1
56,4,52024.0,0
323,15,195120.0,1
372,3,39033.0,1
9,106,1379272.0,0
1,222,2888886.0,0
3,124,1613736.0,0
53,175,2277625.0,0
73,47,611752.0,0
7,1,13017.0,0
16,459,5975262.0,3
4,134,1744814.0,0
64,40,520920.0,0
1,43,560118.0,0
114,26,338702.0,0
23,47,612316.0,0
31,10,130290.0,0
11,92,1198760.0,0
39,75,977400.0,0
357,11,143363.0,1
55,37,482258.0,0
58,30,391050.0,0
138,48,625776.0,0
80,28,365064.0,0
9,43,560720.0,0
254,14,182602.0,1
291,33,430452.0,1
99,18,234810.0,0
31,35,456610.0,0
32,196,2557212.0,0
14,136,1774528.0,0
64,14,182686.0,0
9,422,5507100.0,3
212,18,234936.0,1
64,78,1018290.0,0
25,8,104464.0,0
250,8,104472.0,1
254,15,195900.0,1
72,10,130610.0,0
191,11,143682.0,1
13,68,888352.0,0
373,14,182910.0,1
24,49,640234.0,0
82,15,196005.0,0
10,2,26136.0,0
1,469,6129361.0,3
192,9,117630.0,1
267,7,91504.0,1
130,22,287650.0,0
1,111,1451547.0,0
1,380,4969640.0,3
4,6,78474.0,0
179,6,78480.0,1
1,1061,13878941.0,3
126,75,981150.0,0
4,18,235494.0,0
158,29,379465.0,1
3,1853,24253917.0,3
9,161,2107490.0,0
21,24,314184.0,0
71,26,340392.0,0
267,170,2225810.0,1
21,30,392820.0,0
71,6,78570.0,0
33,435,5697195.0,3
1,605,7924290.0,3
99,1,13099.0,0
234,8,104808.0,1
1,310,4061620.0,3
40,8,104824.0,0
3,20,262080.0,0
129,2,26212.0,0
44,60,786420.0,0
373,10,131080.0,1
3,50,655450.0,0
31,146,1914060.0,0
1,280,3671640.0,0
9,132,1731180.0,0
117,31,406596.0,0
22,76,996892.0,0
20,82,1075676.0,0
239,1,13120.0,1
269,53,695413.0,1
94,55,721710.0,0
90,222,2913528.0,0
5,142,1863892.0,0
78,15,196905.0,0
94,2,26260.0,0
23,46,604026.0,0
262,3,39396.0,1
274,7,91931.0,1
73,105,1379070.0,0
197,1,13135.0,1
50,139,1825904.0,0
11,688,9038256.0,3
22,63,827694.0,0
16,174,2286186.0,0
108,45,591300.0,0
85,136,1787176.0,0
19,23,302266.0,0
333,3,39432.0,1
40,7,92015.0,0
26,17,223482.0,0
10,4,52588.0,0
29,340,4470320.0,3
14,86,1130814.0,0
203,75,986325.0,1
6,15,197295.0,0
144,1,13154.0,1
33,85,1118175.0,0
49,89,1170973.0,0
95,79,1039482.0,0
9,121,1592239.0,0
22,4,52640.0,0
313,8,105288.0,1
122,82,1079284.0,0
46,42,552930.0,0
282,42,552972.0,1
19,65,855855.0,0
36,128,1685504.0,0
64,13,171197.0,0
27,30,395100.0,0
8,48,632208.0,0
4,43,566439.0,0
16,293,3859982.0,0
46,67,882792.0,0
65,17,224009.0,0
26,265,3492170.0,0
45,11,145002.0,0
8,94,1239202.0,0
15,181,2386304.0,0
268,1,13185.0,1
40,84,1107624.0,0
337,37,487919.0,1
11,2,26376.0,0
19,29,382481.0,0
95,63,831096.0,0
61,25,329825.0,0
136,3,39582.0,0
11,110,1451560.0,0
10,229,3022342.0,0
4,120,1583880.0,0
19,46,607200.0,0
10,57,752571.0,0
15,8,105656.0,0
59,149,1967992.0,0
30,329,4345761.0,3
94,22,290620.0,0
10,55,726605.0,0
9,142,1876104.0,0
57,92,1215596.0,0
268,5,66080.0,1
122,7,92519.0,0
127,5,66090.0,0
78,21,277620.0,0
240,66,872586.0,1
200,5,66115.0,1
60,109,1441416.0,0
3,34,449650.0,0
273,16,211616.0,1
202,9,119043.0,1
81,2,26456.0,0
226,10,132290.0,1
4,588,7779240.0,3
13,202,2672864.0,0
74,43,569019.0,0
212,59,780865.0,1
25,39,516204.0,0
11,32,423616.0,0
262,22,291258.0,1
96,67,887080.0,0
112,13,172146.0,0
203,57,754851.0,1
93,27,357588.0,0
51,16,211920.0,0
18,138,1827948.0,0
18,25,331175.0,0
125,26,344448.0,0
92,23,304727.0,0
157,36,477108.0,1
4,14,185570.0,0
14,1,13256.0,0
12,36,477288.0,0
62,81,1073979.0,0
61,8,106080.0,0
269,9,119349.0,1
263,11,145882.0,1
1,1667,22109421.0,3
53,90,1193850.0,0
11,202,2679732.0,0
3,224,2971808.0,0
18,440,5837920.0,3
1,319,4232811.0,3
366,1,13270.0,1
37,92,1220932.0,0
31,15,199080.0,0
113,16,212368.0,0
64,30,398280.0,0
16,8,106216.0,0
41,46,610788.0,0
64,11,146069.0,0
122,82,1088960.0,0
18,40,531280.0,0
60,7,92981.0,0
323,14,185976.0,1
23,187,2484295.0,0
156,42,558222.0,1
39,31,412052.0,0
190,54,717876.0,1
360,11,146245.0,1
137,5,66480.0,0
8,59,784523.0,0
1,2,26596.0,0
268,5,66495.0,1
165,22,292600.0,1
104,81,1077381.0,0
155,1,13302.0,1
351,21,279384.0,1
4,81,1077705.0,0
120,1,13307.0,0
23,57,758556.0,0
7,107,1424063.0,0
9,77,1024870.0,0
4,26,346086.0,0
22,78,1038414.0,0
2,74,985236.0,0
37,87,1158492.0,0
64,135,1797795.0,0
1,20,266360.0,0
5,500,6659500.0,3
70,109,1451880.0,0
72,11,146531.0,0
17,25,333050.0,0
3,21,279783.0,0
32,77,1025948.0,0
82,12,159900.0,0
39,109,1452643.0,0
316,17,226576.0,1
32,19,253251.0,0
93,53,706490.0,0
14,21,279972.0,0
82,265,3533510.0,0
77,51,680136.0,0
154,24,320112.0,1
201,54,720306.0,1
45,134,1787560.0,0
261,42,560322.0,1
173,22,293546.0,1
68,116,1547904.0,0
277,22,293590.0,1
70,8,106776.0,0
64,14,186872.0,0
11,16,213584.0,0
16,43,574050.0,0
66,16,213616.0,0
8,27,360504.0,0
71,51,681054.0,0
122,32,427360.0,0
80,42,560952.0,0
257,89,1188773.0,1
269,29,387382.0,1
59,24,320616.0,0
3,169,2258178.0,0
18,60,801780.0,0
67,20,267280.0,0
9,132,1764180.0,0
50,1,13366.0,0
257,29,387672.0,1
354,19,254011.0,1
366,44,588280.0,1
90,23,307556.0,0
61,158,2112934.0,0
81,38,508250.0,0
99,53,708928.0,0
26,97,1297763.0,0
21,173,2314913.0,0
281,15,200730.0,1
31,155,2074520.0,0
330,35,468475.0,1
121,36,481968.0,0
11,51,682839.0,0
75,13,174070.0,0
204,1,13391.0,1
2,164,2196616.0,0
185,21,281295.0,1
22,47,629612.0,0
73,39,522483.0,0
192,26,348348.0,1
127,39,522678.0,0
18,3,40209.0,0
1,11,147444.0,0
74,27,361935.0,0
2,501,6717408.0,3
9,30,402300.0,0
107,18,241398.0,0
134,24,321936.0,0
44,19,254904.0,0
5,28,375676.0,0
12,314,4213252.0,3
64,16,214704.0,0
135,10,134200.0,0
40,103,1382363.0,0
51,128,1718016.0,0
108,78,1047150.0,0
1,159,2134734.0,0
19,29,389383.0,0
10,71,953388.0,0
11,67,899743.0,0
19,54,725220.0,0
67,46,617826.0,0
74,10,134340.0,0
5,103,1383805.0,0
2,12,161232.0,0
14,167,2243979.0,0
255,54,725706.0,1
92,13,174733.0,0
23,62,833714.0,0
17,198,2662704.0,0
24,19,255531.0,0
27,71,954950.0,0
26,434,5837734.0,3
259,2,26904.0,1
166,17,228701.0,1
25,53,713115.0,0
18,65,874640.0,0
7,394,5302452.0,3
29,17,228820.0,0
39,27,363447.0,0
183,10,134620.0,1
58,41,552024.0,0
100,18,242388.0,0
11,98,1319766.0,0
2,306,4121208.0,3
99,10,134700.0,0
1,254,3421634.0,0
61,22,296406.0,0
236,62,835388.0,1
191,86,1158850.0,1
179,61,822036.0,1
38,81,1091637.0,0
198,16,215664.0,1
46,112,1509872.0,0
232,11,148302.0,1
66,10,134830.0,0
241,8,107872.0,1
233,23,310155.0,1
78,69,930534.0,0
58,34,458558.0,0
17,427,5759376.0,3
105,14,188846.0,0
52,86,1160226.0,0
136,50,674600.0,0
275,8,107944.0,1
312,18,242892.0,1
8,52,701740.0,0
11,36,485856.0,0
283,20,269940.0,1
18,45,607455.0,0
23,67,904500.0,0
243,53,715553.0,1
17,18,243036.0,0
71,17,229551.0,0
64,22,297088.0,0
68,227,3065635.0,0
312,29,391674.0,1
3,162,2188134.0,0
244,12,162096.0,1
9,44,594396.0,0
1,117,1580670.0,0
261,15,202680.0,1
127,10,135130.0,0
74,4,54056.0,0
73,59,797385.0,0
21,44,594704.0,0
60,143,1932931.0,0
86,36,486648.0,0
50,9,121671.0,0
59,95,1284400.0,0
1,418,5651778.0,3
30,5,67610.0,0
33,177,2393571.0,0
41,27,365148.0,0
15,6,81150.0,0
34,218,2948886.0,0
79,15,202935.0,0
205,22,297682.0,1
34,66,893112.0,0
183,75,1014975.0,1
2,342,4628628.0,3
1,178,2409408.0,0
43,25,338450.0,0
86,38,514482.0,0
40,78,1056432.0,0
12,97,1313962.0,0
96,123,1666404.0,0
26,52,704548.0,0
319,4,54204.0,1
66,121,1639792.0,0
74,135,1829925.0,0
28,34,460938.0,0
6,169,2291302.0,0
7,32,433920.0,0
216,14,189854.0,1
82,82,1112084.0,0
84,49,664587.0,0
144,83,1125812.0,0
19,38,515470.0,0
41,169,2292654.0,0
173,43,583424.0,1
17,79,1071951.0,0
243,27,366390.0,1
13,340,4614140.0,3
206,33,447876.0,1
50,25,339325.0,0
23,46,624450.0,0
10,130,1764880.0,0
25,85,1154045.0,0
15,23,312317.0,0
309,10,135810.0,1
156,53,719899.0,1
307,24,326016.0,1
32,11,149457.0,0
16,180,2445840.0,0
15,21,285369.0,0
11,89,1209510.0,0
65,58,788278.0,0
36,16,217472.0,0
108,128,1739904.0,0
53,26,353444.0,0
6,146,1985016.0,0
47,36,489528.0,0
1,263,3576537.0,0
312,19,258400.0,1
45,99,1346499.0,0
65,23,312846.0,0
26,27,367281.0,0
29,40,544240.0,0
40,97,1319879.0,0
12,217,2953370.0,0
89,74,1007214.0,0
24,195,2654730.0,0
313,24,326760.0,1
40,44,599148.0,0
174,13,177034.0,1
117,19,258799.0,0
31,83,1130709.0,0
253,19,258894.0,1
59,94,1280938.0,0
23,59,804111.0,0
5,80,1090400.0,0
100,12,163572.0,0
25,146,1990272.0,0
33,186,2535924.0,0
68,62,845370.0,0
37,64,872704.0,0
52,99,1350063.0,0
16,8,109104.0,0
74,40,545560.0,0
216,57,777594.0,1
31,28,382004.0,0
9,148,2019312.0,0
120,5,68225.0,0
10,79,1078113.0,0
257,23,313927.0,1
17,98,1337700.0,0
35,6,81906.0,0
46,63,860076.0,0
43,166,2266564.0,0
114,56,764680.0,0
165,49,669144.0,1
11,16,218512.0,0
10,112,1529696.0,0
197,107,1461513.0,1
86,57,778734.0,0
179,13,177619.0,1
60,12,163992.0,0
149,83,1134361.0,1
3,494,6751992.0,3
51,9,123021.0,0
75,25,341750.0,0
301,16,218752.0,1
19,60,820380.0,0
151,25,341875.0,1
152,16,218848.0,1
1,215,2941200.0,0
18,57,779817.0,0
187,3,41046.0,1
286,30,410520.0,1
3,39,533715.0,0
183,8,109488.0,1
63,6,82134.0,0
59,9,123210.0,0
25,55,753060.0,0
325,4,54772.0,1
4,584,7997296.0,3
31,90,1232550.0,0
39,12,164364.0,0
155,14,191786.0,1
26,194,2657800.0,0
318,1,13703.0,1
5,135,1850040.0,0
8,28,383740.0,0
303,20,274120.0,1
267,48,657936.0,1
271,49,671692.0,1
4,345,4729605.0,3
32,8,109680.0,0
219,13,178243.0,1
247,10,137120.0,1
281,107,1467505.0,1
269,21,288036.0,1
32,103,1412851.0,0
246,12,164616.0,1
15,60,823140.0,0
117,43,589960.0,0
36,28,384188.0,0
120,86,1180092.0,0
217,6,82338.0,1
50,118,1619550.0,0
39,42,576492.0,0
29,20,274540.0,0
37,63,864864.0,0
136,43,590390.0,0
219,38,521778.0,1
28,33,453156.0,0
25,207,2843145.0,0
5,193,2651048.0,0
200,30,412110.0,1
18,3,41217.0,0
241,23,316020.0,1
72,35,480935.0,0
17,315,4328730.0,3
3,42,577206.0,0
95,63,865872.0,0
151,26,357370.0,1
374,1,13747.0,1
96,28,384944.0,0
54,24,330000.0,0
288,9,123759.0,1
124,75,1031400.0,0
288,35,481355.0,1
152,12,165048.0,1
4,322,4429110.0,3
2,143,1967108.0,0
12,117,1609686.0,0
33,25,343975.0,0
54,57,784320.0,0
50,70,963270.0,0
204,14,192668.0,1
63,17,233971.0,0
71,207,2849148.0,0
2,399,5493033.0,3
2,143,1968967.0,0
64,120,1652520.0,0
34,173,2382556.0,0
82,22,303028.0,0
1,219,3017163.0,0
103,9,124002.0,0
7,57,785460.0,0
251,17,234277.0,1
13,113,1557366.0,0
10,31,427304.0,0
367,7,96502.0,1
76,31,427397.0,0
4,45,620550.0,0
43,17,234447.0,0
66,13,179296.0,0
1,438,6043524.0,3
117,39,538161.0,0
310,33,455400.0,1
67,23,317423.0,0
138,66,910932.0,0
255,17,234651.0,1
31,135,1863540.0,0
52,13,179465.0,0
64,10,138060.0,0
367,7,96649.0,1
6,76,1049408.0,0
305,12,165708.0,1
29,36,497160.0,0
184,14,193354.0,1
42,36,497232.0,0
40,71,980723.0,0
56,58,801212.0,0
